address,state,measure,cmap,zoom,stroke_width,time_start,time_end,measurement_value,time_resolution,width,height,dpi,bleed,border,mat_color,colorspace,prefix,geo_range,flag,lat_min,lat_max,lon_min,lon_max,aspect,shape,lat_min_zoom,lat_max_zoom,lon_min_zoom,lon_max_zoom
"Ohio, United States of America",OH,tcdc,copper_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"38.4031,41.9775,-84.8202,-80.5187",skip,38.4031,41.9775,-84.8202,-80.5187,1.203418756,Rectangular,39.9403,40.4403,-82.91945,-82.41945
"Michigan, United States of America",MI,tcdc,gist_yarg,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"41.696,48.191,-90.4185,-82.4184",skip,41.696,48.191,-90.4185,-82.4184,1.231732102,Rectangular,44.6935,45.1935,-86.66845,-86.16845
"Texas, United States of America",TX,tcdc,ocean_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"25.8371,36.5007,-106.646,-93.5083",skip,25.8371,36.5007,-106.646,-93.5083,1.232013579,Rectangular,30.9189,31.4189,-100.32715,-99.82715
"Louisiana, United States of America",LA,tcdc,gist_earth,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"28.9287,33.0197,-94.0434,-88.8165",skip,28.9287,33.0197,-94.0434,-88.8165,1.277658274,Rectangular,30.7242,31.2242,-91.67995,-91.17995
"Minnesota, United States of America",MN,tcdc,Greys,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"43.4993,49.3853,-97.2399,-89.4918",skip,43.4993,49.3853,-97.2399,-89.4918,1.316360856,Rectangular,46.1923,46.6923,-93.61585,-93.11585
"Wisconsin, United States of America",WI,tcdc,BuGn_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"42.4919,47.0808,-92.8893,-86.8052",skip,42.4919,47.0808,-92.8893,-86.8052,1.32582972,Rectangular,44.53635,45.03635,-90.09725,-89.59725
"Missouri, United States of America",MO,tcdc,winter_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"35.9042,40.6136,-95.7744,-89.0987",skip,35.9042,40.6136,-95.7744,-89.0987,1.417526649,Rectangular,38.0089,38.5089,-92.68655,-92.18655
"Arkansas, United States of America",AR,tcdc,Greys,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"33.0042,36.4996,-94.6192,-89.6419",skip,33.0042,36.4996,-94.6192,-89.6419,1.423957201,Rectangular,34.5019,35.0019,-92.38055,-91.88055
"West Virginia, United States of America",WV,tcdc,BrBG,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"37.2017,40.6378,-82.6444,-77.7189",skip,37.2017,40.6378,-82.6444,-77.7189,1.433456535,Rectangular,38.66975,39.16975,-80.43165,-79.93165
"South Carolina, United States of America",SC,tcdc,gist_stern_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"32.0374,35.2155,-83.3539,-78.5409",skip,32.0374,35.2155,-83.3539,-78.5409,1.514426859,Rectangular,33.37645,33.87645,-81.1974,-80.6974
"Hawaii, United States of America",HI,tcdc,BuGn_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"18.9117,22.2356,-160.2471,-154.8066",skip,18.9117,22.2356,-160.2471,-154.8066,1.636782093,Rectangular,20.32365,20.82365,-157.77685,-157.27685
"Wyoming, United States of America",WY,tcdc,BuPu_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"40.9946,45.006,-111.0563,-104.0518",skip,40.9946,45.006,-111.0563,-104.0518,1.746148477,Rectangular,42.7503,43.2503,-107.80405,-107.30405
"Colorado, United States of America",CO,tcdc,winter_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"36.9923,41.0035,-109.0604,-102.0415",skip,36.9923,41.0035,-109.0604,-102.0415,1.749825489,Rectangular,38.7479,39.2479,-105.80095,-105.30095
"New York, United States of America",NY,tcdc,CMRmap,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"40.496,45.0128,-79.762,-71.8562",skip,40.496,45.0128,-79.762,-71.8562,1.750309954,Rectangular,42.5044,43.0044,-76.0591,-75.5591
"Connecticut, United States of America",CT,tcdc,YlGnBu,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"40.9805,42.0504,-73.7279,-71.7872",skip,40.9805,42.0504,-73.7279,-71.7872,1.813907842,Rectangular,41.26545,41.76545,-73.00755,-72.50755
"Oregon, United States of America",OR,tcdc,gist_earth,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0,0,#000000,cmyk,noborder_18x24,"41.992,46.2938,-124.5664,-116.4633",skip,41.992,46.2938,-124.5664,-116.4633,1.883653354,Rectangular,43.8929,44.3929,-120.76485,-120.26485
